Country, #, Position, FIFA Display Name, Last Name, First Name, Shirt Name, Date of Birth, Club, Club Country, Height
Brazil, 1, Goalkeeper, JULIO CESAR, SOARES DE ESPINDOLA, Julio Cesar, JULIO CESAR, 03 Sep 1979, Inter, ITA, 186
Brazil, 2, Defender, MAICON, SISENANDO, Maicon Douglas, MAICON, 26 Jul 1981, Inter, ITA, 186
Brazil, 3, Defender, LUCIO, DA SILVA FERREIRA, Lucimar, LÚCIO, 08 May 1978, Inter, ITA, 188
Brazil, 4, Defender, JUAN, SILVEIRA DOS SANTOS, Juan, JUAN, 01 Feb 1979, AS Roma, ITA, 182
Brazil, 5, Midfielder, FELIPE MELO, MELO DE CARVALHO, Felipe, FELIPE MELO, 26 Jun 1983, Juventus, ITA, 183
Brazil, 6, Defender, MICHEL BASTOS, FERNANDES BASTOS, Michel M., BASTOS, 02 Aug 1983, Lyon, FRA, 179
Brazil, 7, Midfielder, ELANO, BLUMER, Elano, ELANO, 14 Jun 1981, Galatasaray, TUR, 174
Brazil, 8, Midfielder, GILBERTO SILVA, DA SILVA, Gilberto Aparecido, G. SILVA, 07 Oct 1976, Panathinaikos, GRE, 184
Brazil, 9, Forward, LUIS FABIANO, CLEMENTE, Luis Fabiano, L. FABIANO, 08 Nov 1980, Sevilla FC, ESP, 186
Brazil, 10, Midfielder, KAKA, IZECSON DOS SANTOS LEITE, Ricardo, KAKÁ, 22 Apr 1982, Real Madrid, ESP, 186
Brazil, 11, Forward, ROBINHO, DE SOUZA, Robson, ROBINHO, 25 Jan 1984, Santos, BRA, 175
Brazil, 12, Goalkeeper, GOMES, DA SILVA GOMES, Heurelho, GOMES, 15 Feb 1981, Tottenham Hotspur, ENG, 191
Brazil, 13, Defender, DANI ALVES, ALVES DA SILVA, Daniel D., ALVES, 06 May 1983, Barcelona, ESP, 173
Brazil, 14, Defender, LUISAO, DA SILVA, Anderson Luis, LUISÃO, 13 Feb 1981, Benfica, POR, 193
